sentence_id,text_sentence,president,cluster,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14,D15,D16,D17,D18
Lee_0372,"사업비 ,억원(국비 ,, 지방비 )을 투입하여 년에서 년까지 한국복합소재 기술원을 착공하여 완주 테크노벨리내 탄소소재 산업과의 연계를 통해서 아시아 최고의 복합소재연구소로 육성 발전시키겠습니",Lee,6,4.2711997,6.846852,3.1247883,2.0605586,5.4725027,4.119007,4.408881,3.2163076,3.2419233,5.2824607,3.1733804,4.112941,2.7128391,4.112424,3.6248999,2.4396026,4.3103504,3.0757756
Lee_0373,"친환경 쌀 품종과 품질기준을 마련하고, 친환경 퇴비와 자재를 지원하는 방안을 마련 하겠습니",Lee,6,4.3904877,7.855089,2.1775014,1.223312,4.433279,3.5162213,4.869117,3.5156693,3.4420614,5.387514,3.8277395,4.384179,2.169649,4.6111326,3.812315,3.2334418,4.251188,3.5277176
Lee_0378,사계절 체류형 체육휴양도시 조성을 위해 레저스포츠단지인 월드컵빌리지 및 나비 생태공원을 조성하겠습니,Lee,6,2.6081667,9.190025,4.631618,3.0344305,8.14331,5.079929,6.4928284,4.105873,5.074314,7.5115514,5.077383,6.6249585,3.5075064,5.646729,5.15216,4.415539,5.902368,5.231109
Lee_0379,사계절 체류형 체육휴양도시 조성을 위해 레저스포츠단지인 월드컵빌리지 및 나비 생태공원을 조성하겠습니,Lee,6,2.6081667,9.190025,4.631618,3.0344305,8.14331,5.079929,6.4928284,4.105873,5.074314,7.5115514,5.077383,6.6249585,3.5075064,5.646729,5.15216,4.415539,5.902368,5.231109
Lee_0381,수원천 복개구간을 복원하여 전구간을 생태천으로 복원할 경우 청계천을 능가하는 시민문화 휴식공간으로 탈바꿈할 수 있습니,Lee,6,2.6514409,6.244791,5.158756,3.0044062,6.433819,3.3211207,5.101053,3.4238548,4.1057415,6.2848644,3.8434227,5.4104114,2.9628801,4.8721795,4.277007,3.9281046,4.8950253,4.5804377
Lee_0382,"이러한 산업을 육성하기 위해 정부의 정책을 수정하고 관계 법령을 정비하는데 최선을 다할 것이며 이를 발전시키기 위해 세계의 유명 제약회사나 대학들의 바이오, 항노화 연구소 등을 유치하고 청정에너지 연구 개발 단지 등을 조성해 이러한 미래 성장발전 첨단산업의 기반을 마련하고 이를",Lee,6,3.9359283,6.225322,3.7806206,2.9006908,5.6687145,4.9033785,4.1489077,3.2891212,3.5768917,5.624189,3.5999146,4.6874776,3.1248026,4.5152674,4.0418906,3.1107426,4.703765,3.8881345
Lee_0388,새 정부와 서울시의 예산을 가져와 공원조성비용을 충분히 확보함으로써 마포갑 지역에 서울시 최고의 명품 공원을 조성,Lee,6,1.604698,7.739673,4.426301,2.7352924,7.5014706,4.9014044,5.8813496,3.9615288,4.6475,6.917947,4.544549,6.053962,3.217916,5.083228,4.7598987,3.9377306,5.5148687,4.73417
Lee_0393,한반도대운하 건설에 따른 친환경 문화관광산업도시 양산건설!,Lee,6,4.61862,6.3427873,3.9601686,2.3861258,7.4125776,2.9178002,5.2091904,3.306724,3.7950387,5.182959,3.4762807,4.960102,2.9691033,4.1519117,3.45048,2.7493525,4.4475694,3.508237
Lee_0397,바이오 실크 밸리 / 억원,Lee,6,4.538642,6.9502754,3.6081479,2.050898,6.1855955,3.8618493,4.70481,3.2456532,3.3639073,5.29765,3.1566021,4.3529754,2.803,4.1487126,3.5639324,2.4267218,4.325839,3.1402726
Lee_0398,곤충 및 생물산업 지원에 대한 관심증대,Lee,6,1.8394016,3.6308362,1.8069437,1.66423,1.9233973,2.4663458,2.5946846,2.2430685,2.315575,3.6691053,2.6783946,2.8620157,1.6405104,3.198884,2.84684,2.737279,2.9561243,2.879232
Lee_0403,랜드마크 빌딩 건축으로 경제 문화기반시설 갖춘 수변 항구 도시 조성 및 용산역 ~ 용산공원을 잇는 녹지축 조성,Lee,6,1.8834553,7.0709224,3.9341195,2.6785448,6.9401894,4.5043783,5.2957554,3.5042233,4.2349167,6.245058,4.2566595,5.6145105,3.0691533,4.688371,4.3249583,3.7000043,5.027366,4.4448557
Lee_0414,친환경명품신도시 건설을 추진하겠습니,Lee,6,2.7165837,7.0087514,3.6877677,2.91667,6.1116724,3.4494796,4.8281355,2.7776308,3.660631,5.3766294,3.392434,4.633112,2.8359027,3.969173,3.6476088,2.84583,4.3571596,3.6093001
Lee_0415,"주변의 마을들과 연계, 체험관광(그린투어리즘)과 레포츠가 결합된 업그레이드 농촌관광 명소화",Lee,6,3.491963,4.379756,3.5677526,1.8327035,5.2170486,2.2556605,3.6045315,2.3198032,3.0127249,4.1670823,3.1114137,4.2892313,2.4562197,3.7939405,2.9028692,3.0996928,3.3945956,3.5557432
Lee_0416,바이오산업의 요람인 바이오컨벤션센터가 들어서게 되면 세계의 바이오산업 관계 자들과 관광객을 유치하게 되어 보은 경제에 활력을 불어놓을 것이,Lee,6,2.074754,7.527799,2.9611185,1.4276823,5.6741886,4.7838154,4.6755486,3.2284484,3.4282959,5.411597,3.453638,4.424763,2.5552902,4.0774364,3.7774134,2.6840177,4.2932854,3.272081
Lee_0417,"주거형 휴양, 휴양형 주거단지 만 가구 개발",Lee,6,2.4644334,7.6016483,3.1801066,1.6617409,5.451931,3.3332465,4.8854456,2.8874493,3.4935412,5.4127364,3.60203,4.6522036,2.3654132,4.270787,3.7014933,3.2262304,4.105296,3.7138405
Lee_0424,"한강의 어족자원을 장자호수와 한강 사이의 .km구간을 생태하천으로 만들어 직접 연결된 수로를 통한 한강의 어족자원을 장자호수로 유입시키고, 장자호수공원에서 한강시민공원까지의 산책로와 생태탐방로를 만들 겠습니",Lee,6,5.0145183,5.8437614,3.9045334,2.0114927,5.3868475,3.9291303,4.4899654,3.8563385,3.7064092,5.8758698,3.9412296,4.965441,2.8297262,5.107331,4.1449184,3.7516062,4.6872416,4.207899
Lee_0427,인천대교와 더불어 일대를 관광명소로 육성하고 격조 높은 미술관 등 문화예술 공원조성으로 시민 휴식공간을 늘리고자 함.,Lee,6,2.4386175,5.7428675,4.4255123,2.0109818,6.843499,2.8908179,4.816681,3.0028005,3.6857362,5.44802,3.6388357,5.2352,2.723297,4.395992,3.6447368,3.549775,4.28974,4.1366405
Lee_0428,석유자원 고갈시대를 대체할 신에너지산업,Lee,6,3.8581512,6.8404374,2.4999697,2.018693,4.918111,4.1356964,4.2696705,3.1092029,3.2078817,5.0165353,3.27923,3.9741702,2.5522351,3.9498153,3.5765338,2.4627326,4.1609316,3.0255885
Lee_0432,반송동 반송교에서 운봉교에 이르는 .㎞의 하천 구간을 복원하고 생태하천으로 조성하여 반송동 주민의 웰빙 공간으로 활용될 수 있도록 하겠음.,Lee,6,4.7104173,8.047903,3.4853303,1.7752472,6.2916393,4.237793,4.983774,3.3408432,3.5852666,5.912268,3.815161,4.9351172,2.874186,4.846418,4.0219197,3.1710105,4.6115346,3.7876058
Lee_0433,반송동 반송교에서 운봉교에 이르는 .㎞의 하천 구간을 복원하고 생태하천으로 조성하여 반송동 주민의 웰빙 공간으로 활용될 수 있도록 하겠음.,Lee,6,4.7104173,8.047903,3.4853303,1.7752472,6.2916393,4.237793,4.983774,3.3408432,3.5852666,5.912268,3.815161,4.9351172,2.874186,4.846418,4.0219197,3.1710105,4.6115346,3.7876058
Lee_0438,구청장 교체 이후 기존의 종합발전계획이 무산되고 부분 부분 나눠 개발하는‘조각 개발’이 이루어지는 바람에 공원 등 녹지 공간과 문화 공간이 부족한 삭막한 구로가 되었음.,Lee,6,3.7907236,6.5340834,4.008913,1.7535294,5.981221,4.319969,4.6172085,3.5312014,3.6553142,5.9631066,3.8961854,5.0962596,2.8557673,4.956071,4.1344967,3.5711837,4.6099443,4.1383643
Lee_0439,"[문화생활공간 조성] 야외 무대, 야외 영화관, 산책로, 테마 파크 등을 설치하여 양산 시민들의 문화생활 공간 조성",Lee,6,3.0504186,6.584193,4.847951,2.4101036,7.735855,3.1390707,5.411228,3.2987041,4.0326004,5.607566,3.6241584,5.479143,2.9576392,4.4309554,3.7176418,3.3545165,4.586939,4.146107
Lee_0441,"중앙공원(두개비산), .공원",Lee,6,4.535278,6.53295,4.2847,2.5873208,6.4791126,2.8944454,4.964445,3.163465,3.768388,5.5142107,3.586154,4.982504,2.90983,4.5584135,3.7200336,3.323847,4.4460163,3.9859452
